 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
94.5859375,35.77982308,1.187308683,3.68746932,6.071070234,29.76039993,5.318766827,28.69804799,1
137.2421875,46.45474042,0.045257133,-0.438857507,59.4958194,77.75535652,0.71974817,-1.183162032,0
123.53125,53.34878418,0.072077648,-0.071600995,0.781772575,10.57083301,17.11829958,339.6608262,0
70.0234375,35.28067478,1.157657193,4.546692371,3.003344482,19.57538355,7.954436097,71.96015886,0
129.375,44.56841651,0.049779493,0.506330188,3.60451505,21.13303805,7.181384025,56.85662961,0
97.140625,47.77089438,0.625218075,0.740796144,4.193143813,26.46526062,6.927045631,49.62852693,0
101.96875,46.31632702,0.439814307,0.294261355,1.748327759,16.4866229,10.8103928,127.7333664,0
123.46875,45.47508547,0.345780685,0.647414924,32.91973244,65.09419657,1.605538349,0.871363737,1
103.5234375,45.72573893,0.3365333,0.520557925,11.28929766,39.11645317,3.509139254,11.50397981,0
107.9296875,50.58195448,0.320398557,0.277613139,2.022575251,19.80655592,10.47225116,113.0115374,0
113.6796875,42.79419017,0.03599318,0.330677227,2.72909699,17.72457969,7.608308855,67.11010332,0
96.6796875,41.39952702,0.586678289,0.820224746,2.044314381,17.27702312,9.450599023,97.26764676,0
130.109375,49.40509121,0.080614365,-0.171800128,1.704013378,11.88494244,11.98472203,198.7850886,0
118.8203125,45.09771225,0.226520706,0.321414341,3.317725753,18.9911805,7.318813375,63.13875256,0
82.703125,38.00747447,0.887823559,2.544943671,1.641304348,13.15851135,11.09366793,155.0446602,0
125.4375,55.22181832,-0.306044841,-0.361281676,4.894648829,30.72296002,6.481707038,41.77998838,0
140.7890625,39.5898212,0.055105883,0.881112657,2.504180602,16.62645319,8.517333044,85.71086477,0
35.15625,30.2377138,4.20347482,24.4866906,34.10117057,62.57739528,1.890020282,2.57213265,1
140.6796875,44.57874592,0.013023756,0.385921041,4.940635452,25.57445006,5.603603749,32.8049201,0
121.859375,48.37608758,0.246923746,-0.249216051,5.219899666,27.88454407,6.154450774,40.29599035,0
135,47.76717623,-0.100345314,-0.011802584,4.004180602,25.98402807,7.110256365,51.78034336,0
120.1953125,50.39005026,0.117917617,-0.067409514,6.403010033,31.86727478,5.096533431,25.44249982,0
114.2890625,44.23625358,0.223241175,0.911696383,0.972408027,12.57359903,15.09301964,248.7651662,0
108.125,46.4058186,0.428837305,0.234800176,2.015886288,16.99657398,9.779744598,105.9008688,0
94.078125,43.12982027,0.332038232,0.808409927,5.234113712,27.28130505,5.642595986,32.92813083,0
140.9765625,57.44242564,-0.199055477,-0.506534769,13.01505017,42.23346215,3.367500923,10.69252837,0
80.9921875,34.28932416,0.717615197,4.001233511,2.663879599,17.38143975,8.123202382,76.32992616,0
97.9140625,42.03087172,0.370333744,0.59410482,1.530100334,16.10162948,11.75689076,146.9822525,0
125.1328125,42.58417603,0.266771474,0.88061398,2.468227425,20.53893017,8.875890934,81.35202744,0
84.0390625,38.94395058,0.668006651,1.586057512,1.793478261,13.49457928,11.43353195,161.9078326,0
143.8984375,48.16748771,-0.20183785,-0.100719016,3.826086957,26.25845661,7.193332526,52.72924212,0
81.9296875,34.51770008,0.829346377,3.887459323,3.349498328,20.12947035,8.304477763,79.76471417,0
90.96875,41.60790518,0.729465117,1.211588181,1.897993311,14.79264583,10.41870697,128.7548875,0
117.578125,40.39252897,0.450527632,0.705734323,1.12541806,13.3627417,14.42271997,232.3131422,0
91.875,48.02001536,0.700846109,0.728237097,1.60451505,12.48744974,11.53089265,174.1931918,0
121.53125,45.34364232,0.102670287,0.506626476,2.79180602,18.84932244,8.439358578,82.8536807,0
108.40625,47.31500778,0.035390944,-0.326323714,1.717391304,13.85298098,10.97489444,143.7650991,0
86.5625,38.67225063,0.580635737,2.591600394,5.989966555,29.64787606,5.325813648,28.9446805,0
112.4140625,45.63091183,0.301825023,0.680368955,1.75083612,16.92768776,11.57514155,143.4081491,0
18.1171875,29.29766978,6.446705558,44.60158751,50.10785953,66.32182537,1.456423391,1.335181593,1
89.7578125,46.55352197,0.645350043,0.768414622,2.067725753,13.48080247,9.744522201,129.34482,0
126.3984375,60.41824795,0.048076948,-0.814893479,66.54765886,85.32276063,0.750702317,-1.037197008,0
162.4765625,43.37895602,-0.495946975,0.608084926,3.538461538,25.01456483,7.535673954,58.07478117,0
132.203125,49.37236692,0.068983802,-0.188895383,2.085284281,13.08121342,10.59186725,151.6794114,0
99.4921875,41.25511258,0.33931681,0.874420009,4.846153846,29.47105734,6.477662421,42.36337684,0
107.6328125,44.38448333,0.251704276,0.430087846,2.930602007,16.70047062,8.001108167,79.88474398,0
124.7109375,48.14774663,-0.248600481,0.156993402,1.693143813,11.85257771,13.27888391,232.5871408,0
134.0234375,51.90217132,-0.214461669,0.021349314,2.72826087,15.63212874,8.42294391,90.24191986,0
131.8125,54.10662939,-0.148850574,-0.311542332,1.934782609,14.05617353,10.13281605,127.6165515,0
105.1015625,52.52556518,0.369176023,-0.096195995,3.497491639,22.59977862,7.555514385,61.20275831,0
117.375,58.53110818,0.22075852,-0.321971818,1.751672241,16.84121315,11.43726052,139.6232275,0
135.6171875,50.71013229,0.118670735,-0.25104022,1.47993311,16.03065934,11.53907321,139.2826352,0
44.8671875,45.69333429,2.888739412,8.810672554,176.1195652,59.73772038,-1.785376578,2.940913427,1
26.921875,34.5110058,4.709838436,24.24740042,183.6229097,79.93281529,-1.326647481,0.346712101,1
120.140625,50.20298397,-0.049110246,-0.470716187,3.596989967,23.6338738,7.104274744,52.69637229,0
130.2421875,50.40968813,-0.001929465,-0.274166952,4.129598662,25.40410706,6.79207875,47.83833472,0
133.4765625,46.46637979,-0.226357422,0.224543707,2.084448161,12.55451226,10.48127536,159.0808477,0
101.5859375,43.59481896,0.245986542,0.875398728,2.702341137,21.4769853,8.634194024,77.30705126,0
120.8125,45.16181843,0.451277319,0.314943674,2.459866221,19.13626269,9.073114935,90.11590515,0
146.1796875,44.67039596,-0.230021535,0.259498525,1.72993311,11.70683448,12.08826606,206.9702029,0
131.90625,53.77040855,0.219247987,-0.188834594,2.699832776,14.73072801,8.336997625,97.53171305,0
93.203125,39.42365236,0.607771238,1.659607875,1.671404682,15.25578628,11.91119641,163.4059665,0
107.40625,58.50486592,0.100292261,-0.900060229,18.4590301,53.85715183,2.794208117,6.361790342,0
104.8046875,47.79236645,0.328691864,0.083438105,0.763377926,10.0823547,18.49321311,401.3006212,0
94.7578125,39.5272347,0.785765911,1.43736579,2.275919732,15.65629332,9.990955631,122.0353982,0
104.0625,37.47890031,0.381301627,1.401753113,1.703177258,13.60889525,11.70869055,165.9993289,0
128.6640625,55.19996,-0.007336322,-0.835771204,3.578595318,19.69452354,7.137936389,59.25100862,0
99.421875,48.40835565,0.668631921,0.851637884,2.12541806,11.47708154,11.54130826,207.6310958,0
133.1640625,52.98198063,-0.132383847,-0.49394484,27.84448161,66.77087985,2.141015131,2.898545592,0
130.484375,45.63321576,0.141510594,0.231174139,2.972408027,18.30926464,7.532465375,66.00795795,0
97.5625,35.16029143,0.438211171,2.142149919,2.939799331,19.07838227,8.49720378,81.17969182,0
151.125,44.28335607,0.12931893,0.468622972,2.255016722,19.49498735,9.315669105,90.50487849,0
84.2734375,38.39997454,0.662578662,1.778425245,2.984113712,16.69029062,8.407608491,86.91303647,0
133.3671875,56.54462716,0.032098564,-0.481222279,2.757525084,18.03943289,9.191633022,99.69278934,0
119.03125,44.55227574,-0.06969395,0.456036796,2.118729097,17.948811,9.877426366,106.9093596,0
108.3046875,40.86401966,0.502059825,1.097573066,2.622909699,17.51981516,8.736839979,88.01659742,0
134.890625,55.07781915,-0.139759422,-0.628622776,3.284280936,17.98195269,8.347579405,88.10811859,0
106.796875,43.12107942,0.438991875,0.864922185,2.918060201,17.46616342,8.043076763,78.42574794,0
124,52.44997617,-0.043735199,-0.239057773,10.34615385,36.76162356,3.71666865,13.09939235,0
150.8828125,44.86396471,-0.164659392,0.242533353,3.68729097,21.95421366,6.902402756,50.86831215,0
137.6796875,45.13537512,-0.073952731,0.371260995,9.213210702,37.35192203,4.095595297,15.81340451,0
117.40625,47.0568867,0.034992408,0.232531051,3.362876254,21.07941093,7.721260224,65.53764746,0
110.6953125,42.2902099,-0.017400862,0.701464381,1.16722408,15.16780594,13.76584457,194.6408589,0
97.7734375,47.58154429,0.408923366,0.216219451,2.142976589,13.6332318,9.589984998,125.445808,0
125.5625,43.89507198,0.008013252,0.72888495,5.488294314,28.21206181,5.630403329,32.99237094,0
48.2421875,36.49202526,2.935560303,10.88874578,41.5041806,62.89781076,1.472488674,1.305269046,1
129.140625,49.99948974,0.165773225,-0.095272831,1.622909699,15.94338154,10.90964301,128.8100866,0
125.4375,55.18332374,0.016503739,-0.510120963,2.026755853,16.52349963,9.749287863,106.1926626,0
82.8828125,39.13131361,0.779404515,2.205462374,0.988294314,13.81288708,15.17524002,240.0273283,0
114.6015625,46.069299,0.275950662,-0.232368177,5.790133779,27.09546365,5.514137851,32.89851474,0
93.6015625,34.55234703,0.703073859,3.038797852,2.193979933,18.76845795,9.199617063,88.63984058,0
107.015625,45.3600155,0.154746261,-0.156070607,1.095317726,10.38647555,15.9324081,327.7683907,0
144.75,42.04276097,-0.080527561,0.646575786,2.069397993,14.35454201,11.05503987,150.6634825,0
83.96875,32.78693945,0.972955394,4.940514989,1.638795987,11.93460301,12.15731657,199.3218792,0
128.3359375,50.20384655,0.095737843,-0.065940749,2.431438127,14.25347983,8.875417058,107.3058654,0
101.328125,46.0985882,0.155298097,-0.317547506,17.23244147,51.20946379,2.877138924,6.890868325,0
131.8671875,53.76603992,0.026371918,-0.112226734,3.872909699,19.11347653,7.307133085,65.20316673,0
123.3046875,41.96698081,0.537488993,0.727113416,3.494147157,19.02601104,7.438740515,66.31017992,0
119.78125,47.94054545,0.10417849,-0.051149046,1.89548495,16.8777806,10.0880338,110.6269233,0
105.0390625,53.30959141,0.460307334,-0.136854052,2.056020067,12.94254239,10.47886097,152.8372479,0
142,48.80141519,-0.210519778,0.043318671,10.48494983,39.57310589,3.807679388,13.6645778,0
123.5,47.78647167,0.035054235,0.202899688,6.027591973,27.80342021,5.435981218,31.26290481,0
126.1015625,52.56734369,0.216219846,-0.347580724,23.09615385,53.59511551,2.296400156,4.183569225,0
133.046875,51.12238064,-0.145585798,-0.325246456,1.190635452,13.38429092,13.87196488,214.7984487,0
123.8203125,55.16416319,0.016799004,-0.928209445,4.076086957,22.25648746,6.717675769,50.20346209,0
80.3359375,37.6984908,0.713377421,2.33490766,1.577759197,12.40009468,11.76194108,180.0012011,0
126.328125,46.70972687,0.219174451,-0.182290189,2.091137124,13.42497629,11.04466852,161.6337607,0
115.46875,36.59809966,0.334340886,1.088236763,1.069397993,10.4616372,15.38760427,312.7916716,0
128.6328125,52.94260912,-0.034207574,-0.385722225,3.665551839,22.73844704,7.046586334,54.1782308,0
110.0703125,37.87380023,0.002434542,1.471485646,2.876254181,16.41639622,7.526804972,72.00044829,0
116.234375,52.57011455,0.17403179,-0.320616556,2.968227425,20.39486444,7.841162421,66.65117878,0
110.1953125,54.47549027,0.489785147,-0.031921393,19.28010033,56.00214376,2.875491226,6.861891535,1
135.921875,52.8672585,0.000505063,-0.132671421,0.956521739,10.09684457,16.78257025,360.5597251,0
135.3046875,46.05407124,-0.097731063,0.106727011,2.872073579,17.50789185,8.789589629,93.43310791,0
122.515625,48.03855619,0.062231187,0.02953647,1.546822742,13.07907447,11.28079338,159.9311114,0
112.2421875,49.45985526,0.059587064,-0.280674879,2.051839465,16.10144435,10.46302746,128.7150407,0
127.953125,46.87380988,0.224679738,0.210372343,15.50919732,49.37337186,3.287572216,9.665575476,0
123.109375,51.61777104,-0.181165617,-0.28803291,1.694816054,16.05835949,11.60885779,148.6347453,0
153.515625,44.32655531,-0.230928343,0.323604741,2.581103679,15.45186541,8.55801915,94.23542635,0
123.171875,46.18324733,0.11926277,0.526146123,0.988294314,11.32079494,14.76318729,261.5906109,0
111.21875,44.39611074,0.325249755,0.4680619,2.381270903,14.42075974,9.397771773,115.8287741,0
92.171875,36.28255206,0.411622306,2.199315462,0.387123746,8.525378291,25.46306919,703.2621278,0
125.6640625,39.84800759,0.166556516,0.580315823,0.72993311,10.69483076,17.63448881,349.9504888,0
101.9609375,42.81161538,0.567676385,0.967241302,1.406354515,11.69757256,13.32743044,224.9489913,0
142.8828125,51.30281137,-0.057293935,-0.23595833,9.711538462,39.50726491,4.199404691,16.95598863,0
113.25,53.9638189,0.472258295,-0.214556695,2.066889632,16.59206223,9.539052996,101.2781688,0
129.7734375,51.47742449,0.024982345,-0.323532742,11.57943144,42.4971714,3.616210073,11.85690397,0
116.8515625,41.36633026,0.388759794,1.116397108,3.272575251,18.12939234,7.240234518,63.00567017,0
106.015625,53.36050511,0.296141538,-0.374817981,2.586120401,14.7321722,8.58374568,99.32530524,0
105.1640625,42.65317568,0.362358448,0.573878211,26.07525084,61.91073536,2.204075211,3.376113044,0
104.328125,41.70752131,0.481346849,1.748107196,6.112876254,31.83921461,5.593785604,31.25637134,0
126.9140625,51.51805317,-0.081308494,-0.035835531,12.85117057,43.92271934,3.474985058,11.07292131,0
83.53125,42.52167416,0.581761011,1.230802536,3.428093645,17.79643383,7.050441726,61.66259441,0
109.3359375,50.30178882,0.206914504,0.053811115,2.439799331,16.7386128,9.648613261,109.1909892,0
11.8203125,37.25826955,5.340501841,28.65597499,146.7257525,75.39944935,-0.29078496,-1.219306736,1
122.8671875,52.69330055,0.024783925,-0.020267954,1.512541806,15.16709638,12.24246619,168.2836997,0
114.40625,43.91565736,0.056368404,0.576339802,3.408862876,19.6887373,7.148087277,58.75898172,0
87.4375,35.86274834,0.752855077,2.549712659,1.949832776,13.20329181,10.37167159,143.2738838,0
119.1640625,47.39194574,0.080218949,-0.207418178,3.10367893,23.05299884,7.984051959,66.29706521,0
109.65625,46.18837744,0.282604942,0.373240715,4.346989967,26.75062902,6.749734732,47.03064073,0
121.53125,51.5341115,0.0776414,-0.299108034,2.79264214,20.52106706,8.034259963,68.04746793,0
124.2265625,44.60349882,0.132288777,0.235172101,2.455685619,15.09226505,8.718729339,97.67946437,0
124.1796875,42.74715517,-0.03355276,0.143167724,1.092809365,11.30160768,14.77990854,265.4591972,0
114.9609375,55.09585431,-0.04537176,-0.513684544,3.280936455,17.27801407,7.2943915,67.42143142,0
117.984375,46.72007471,0.286562981,0.227632281,8.611204013,34.76781815,4.279058032,18.12586943,0
59.4296875,45.39250413,2.175946915,5.660024859,16.4590301,47.31947735,3.084529416,8.940259466,1
117.90625,44.92501348,0.440930812,0.31289228,11.50250836,40.27764213,3.569731437,11.96257793,0
160.5078125,37.88716721,-0.495362596,1.562323929,4.277591973,21.44538524,6.398141222,46.73208031,0
142.4140625,54.35926889,-0.233444703,-0.393528983,1.965719064,11.39205535,11.96927547,216.8112463,0
104.75,50.36057486,0.1904076,-0.213288502,2.31187291,18.01649819,9.934587098,111.348074,0
132.6328125,40.62035956,0.121489478,0.600190535,2.289297659,14.8038994,9.237880114,108.4713733,0
123.1640625,56.1888247,0.305496322,-0.412612204,1.320234114,12.71702406,13.7907905,223.76267,0
88.25,39.04604653,0.57152249,1.47049275,4.650501672,25.66972355,6.217865152,40.9873884,0
70.671875,38.18501616,0.754771387,2.649724403,4.408026756,22.74478298,6.091345229,40.9731114,0
128.3671875,65.7315648,0.172012301,-0.986426319,6.796822742,34.0742062,5.130599015,25.61867365,0
87.1796875,33.27476371,0.832323467,4.07861041,6.0409699,26.80661253,4.997010294,26.6342542,0
125.640625,47.6318457,-0.06204993,0.062924147,2.7909699,16.72779671,7.731253516,74.10457001,0
94.0234375,38.20697434,0.487858357,1.312127246,1.610367893,13.73258799,11.24840725,150.1956715,0
137.265625,50.41522655,-0.008050957,-0.375378168,1.632107023,15.21650132,10.60908289,125.0417747,0
128.2265625,51.86132573,0.125156121,-0.476816314,1.727424749,13.04722386,11.28352502,162.0751265,0
114.8359375,53.54186116,0.275238199,-0.282135352,6.621237458,33.46509464,5.277951757,27.2734502,0
88.4375,37.81177685,0.689215581,2.035293755,2.415551839,18.02795281,8.828613361,86.79989428,1
131.6015625,37.53130773,0.321462742,1.134500436,9.810200669,35.19256529,3.642719116,12.50794414,0
116.6640625,35.4527144,0.275948048,1.544679107,1.621237458,12.85152609,11.14062749,160.9138449,0
138.34375,52.88230409,-0.106165999,-0.26027436,2.87458194,16.79353244,8.821544558,96.79106969,0
107.5078125,45.57462906,0.377712608,0.614655841,1.469063545,14.84270525,11.92974816,156.2173396,0
115.125,53.53547305,0.335892131,-0.12557555,4.634615385,24.65869576,6.563250812,46.8314903,0
116.5703125,46.76849293,0.355035154,-0.015581066,3.700668896,20.66185067,7.510826871,65.932084,0
129.5390625,49.29865971,0.045526977,-0.306168706,2.370401338,20.10343055,9.292539539,90.72494602,0
118.7265625,40.55488466,0.320337544,0.891195224,3.721571906,23.10667214,7.153364366,55.73816753,0
136.8828125,52.60311616,-0.237227963,-0.306039558,2.051839465,17.38528541,10.63260503,123.0040784,0
146.03125,42.86350748,-0.061670773,0.60287739,4.02090301,22.58999981,6.59828238,47.59722292,0
87.4921875,48.58915711,1.08793288,1.226100829,13.48076923,42.15783527,3.052826039,8.164593538,0
130,43.19143434,0.151452911,-0.023295579,1.62541806,14.0891864,12.23472649,177.1219025,0
120.8671875,51.9515055,0.305890007,0.036700866,1.79180602,14.59787517,12.00652401,167.6265639,0
93.25,34.98950736,0.783981208,3.03771548,2.067725753,17.13592898,9.422644494,96.80477764,0
81.1171875,34.88297872,0.760898864,3.660842118,2.733277592,16.79887706,8.08768427,78.7640511,0
139.2421875,43.60435509,-0.026739153,0.151672904,19.83026756,49.13520137,2.398019186,4.701859101,0
113.5625,49.29229624,-0.089233459,-0.378080331,1.900501672,14.44899806,9.927803007,120.2876363,0
123.4375,52.22857665,-0.177095872,-0.443829346,10.77341137,40.10837737,3.922105487,14.91596239,0
127.3828125,50.30580252,0.164169261,-0.422519924,4.132943144,21.85467856,6.976457901,56.73220103,0
