PassengerId,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Name_length,Has_Cabin,FamilySize,IsAlone,Title
86,0,3,1,0,3,3,0,22,0,5,0,1
87,0,3,1,0,0,1,0,29,0,1,1,1
88,1,1,0,1,2,3,0,26,1,6,0,2
89,0,3,1,1,0,1,0,22,0,1,1,1
90,0,3,1,1,0,1,0,20,0,1,1,1
91,0,3,1,1,0,0,0,26,0,1,1,1
92,0,1,1,2,0,3,0,27,1,2,0,1
93,0,3,1,1,2,2,0,23,0,4,0,1
94,0,3,1,3,0,0,0,17,0,1,1,1
95,0,3,1,0,0,1,0,27,0,1,1,1
96,0,1,1,4,0,3,1,25,1,1,1,1
97,1,1,1,1,1,3,1,31,1,2,0,1
98,1,2,0,2,1,2,0,36,0,2,0,3
99,0,2,1,2,0,2,0,17,0,2,0,1
100,0,3,0,1,0,0,0,23,0,1,1,2
101,0,3,1,2,0,0,0,32,0,1,1,1
102,0,1,1,1,1,3,0,25,1,2,0,1
103,0,3,1,2,0,1,0,26,0,1,1,1
104,0,3,1,2,0,1,0,30,0,3,0,1
105,0,3,1,1,0,0,0,21,0,1,1,1
106,1,3,0,1,0,0,0,32,0,1,1,2
107,1,3,1,0,0,0,0,22,0,1,1,1
108,0,3,1,2,0,0,0,15,0,1,1,1
109,1,3,0,2,0,2,2,19,0,2,0,2
110,0,1,1,2,0,3,0,30,1,1,1,1
111,0,3,0,0,0,2,1,20,0,2,0,2
112,0,3,1,1,0,1,0,22,0,1,1,1
113,0,3,0,1,0,1,0,23,0,2,0,2
114,0,3,0,1,0,2,1,21,0,1,1,2
115,0,3,1,1,0,1,0,21,0,1,1,1
116,0,3,1,4,0,0,2,20,0,1,1,1
117,0,2,1,1,0,2,0,31,0,2,0,1
118,0,1,1,1,1,3,1,24,1,2,0,1
119,0,3,0,0,2,3,0,33,0,7,0,2
120,0,2,1,1,0,3,0,27,0,3,0,1
121,0,3,1,1,0,1,0,26,0,1,1,1
122,0,2,1,1,0,2,1,20,0,2,0,1
123,1,2,0,1,0,1,0,19,1,1,1,2
124,0,1,1,3,1,3,0,27,1,2,0,1
125,1,3,1,0,0,1,1,28,0,2,0,4
126,0,3,1,2,0,0,2,19,0,1,1,1
127,1,3,1,1,0,0,0,25,0,1,1,1
128,1,3,0,1,1,2,1,17,1,3,0,2
129,0,3,1,2,0,0,0,18,0,1,1,1
130,0,3,1,2,0,0,1,20,0,1,1,1
131,0,3,1,1,0,0,0,30,0,1,1,1
132,0,3,0,2,0,2,0,46,0,2,0,3
133,1,2,0,1,0,2,0,45,0,2,0,3
134,0,2,1,1,0,1,0,30,0,1,1,1
135,0,2,1,1,0,2,1,18,0,1,1,1
136,1,1,0,1,2,2,0,28,1,3,0,2
137,0,1,1,2,0,3,0,27,1,2,0,1
138,0,3,1,0,0,1,0,19,0,1,1,1
139,0,1,1,1,0,3,1,18,1,1,1,1
140,0,3,0,2,2,2,1,29,0,3,0,3
141,1,3,0,1,0,0,0,24,0,1,1,2
142,1,3,0,1,0,2,0,52,0,2,0,3
143,0,3,1,1,0,0,2,19,0,1,1,1
144,0,2,1,1,0,1,0,26,0,1,1,1
145,0,2,1,1,1,3,0,28,0,3,0,1
146,1,3,1,1,0,0,0,44,0,1,1,1
147,0,3,0,0,2,3,0,32,0,5,0,2
148,0,2,1,2,2,2,0,40,1,3,0,1
149,0,2,1,2,0,1,0,33,0,1,1,5
150,0,2,1,3,0,1,0,26,0,1,1,5
151,1,1,0,1,0,3,0,33,1,2,0,3
152,0,3,1,3,0,1,0,16,0,1,1,1
153,0,3,1,2,2,2,0,31,0,3,0,1
154,0,3,1,2,0,0,0,21,0,1,1,1
155,0,1,1,3,1,3,1,27,0,2,0,1
156,1,3,0,0,0,0,2,32,0,1,1,2
157,0,3,1,1,0,1,0,15,0,1,1,1
158,0,3,1,2,0,1,0,19,0,1,1,1
159,0,3,1,1,2,3,0,26,0,11,0,4
160,0,3,1,2,1,2,0,24,0,2,0,1
161,1,2,0,2,0,2,0,50,0,1,1,3
162,0,3,1,1,0,0,0,26,0,1,1,1
163,0,3,1,1,0,1,0,15,0,1,1,1
164,0,3,1,0,1,3,0,28,0,6,0,4
165,1,3,1,0,2,2,0,47,0,3,0,4
166,1,1,0,1,1,3,0,38,1,2,0,3
167,0,3,0,2,4,2,0,47,0,6,0,3
168,0,1,1,1,0,2,0,19,0,1,1,1
169,0,3,1,1,0,3,0,13,0,1,1,1
170,0,1,1,3,0,3,0,25,1,1,1,1
171,0,3,1,0,1,2,2,20,0,6,0,4
172,1,3,0,0,1,1,0,28,0,3,0,2
173,0,3,1,1,0,1,0,25,0,1,1,1
174,0,1,1,3,0,2,1,23,1,1,1,1
175,0,3,1,1,1,0,0,22,0,3,0,1
176,0,3,1,0,1,2,0,29,0,5,0,4
177,0,1,0,3,0,2,1,26,1,1,1,2
178,0,2,1,1,0,1,0,18,0,1,1,1
179,0,3,1,2,0,0,0,19,0,1,1,1
180,0,3,0,1,2,3,0,28,0,11,0,2
181,0,2,1,2,0,2,1,16,0,1,1,1
182,0,3,1,0,2,3,0,37,0,7,0,4
183,1,2,1,0,1,3,0,25,1,4,0,4
184,1,3,0,0,2,2,0,35,0,3,0,2
185,0,1,1,2,0,3,0,21,1,1,1,1
186,1,3,0,1,0,2,2,47,0,2,0,3
187,1,1,1,2,0,2,0,45,0,1,1,1
188,0,3,1,2,1,2,2,16,0,3,0,1
189,0,3,1,2,0,0,0,19,0,1,1,1
190,1,2,0,1,0,1,0,19,0,1,1,3
191,0,2,1,1,0,1,0,21,0,1,1,1
192,1,3,0,1,0,0,0,47,0,2,0,2
193,1,2,1,0,1,2,0,26,1,3,0,4
194,1,1,0,2,0,2,1,41,1,1,1,3
195,1,1,0,3,0,3,1,20,1,1,1,2
196,0,3,1,1,0,0,2,19,0,1,1,1
197,0,3,1,2,1,1,0,32,0,2,0,1
198,1,3,0,2,0,0,2,32,0,1,1,2
199,0,2,0,1,0,1,0,38,0,1,1,2
200,0,3,1,1,0,1,0,30,0,1,1,1
201,0,3,1,2,2,3,0,19,0,11,0,1
202,0,3,1,2,0,0,0,26,0,1,1,1
203,0,3,1,2,0,0,1,20,0,1,1,1
204,1,3,1,1,0,1,0,24,0,1,1,1
205,0,3,0,0,1,1,0,26,1,2,0,2
206,0,3,1,1,0,2,0,26,0,2,0,1
207,1,3,1,1,0,2,1,27,0,1,1,1
208,1,3,0,0,0,0,2,25,0,1,1,2
209,1,1,1,2,0,2,1,16,1,1,1,1
210,0,3,1,1,0,0,0,14,0,1,1,1
211,1,2,0,2,0,2,0,26,0,1,1,2
212,0,3,1,1,0,0,0,22,0,1,1,1
213,0,2,1,1,0,1,0,27,0,1,1,1
214,0,3,1,1,0,0,2,19,0,2,0,1
215,1,1,0,1,0,3,1,23,1,2,0,2
216,1,3,0,1,0,1,0,22,0,1,1,2
217,0,2,1,2,0,2,0,28,0,2,0,1
218,1,1,0,1,0,3,1,21,1,1,1,2
219,0,2,1,1,0,1,0,18,0,1,1,1
220,1,3,1,0,0,1,0,30,0,1,1,1
221,0,2,1,1,0,1,0,20,0,1,1,1
222,0,3,1,3,0,1,0,23,0,1,1,1
223,0,3,1,2,0,0,0,20,0,1,1,1
224,1,1,1,2,0,3,0,28,1,2,0,1
225,0,3,1,1,0,1,0,28,0,1,1,1
226,1,2,1,1,0,1,0,25,0,1,1,1
227,0,3,1,1,0,0,0,31,0,1,1,1
228,0,2,1,1,0,1,0,25,0,1,1,1
229,0,3,0,2,1,2,0,23,0,5,0,2
230,1,1,0,2,0,3,0,44,1,2,0,3
231,0,3,1,1,0,0,0,24,0,1,1,1
232,0,2,1,3,0,1,0,25,0,1,1,1
233,1,3,0,0,2,3,0,30,0,7,0,2
234,0,2,1,1,0,1,0,33,0,1,1,1
235,0,3,0,2,0,0,0,28,0,1,1,2
236,0,2,1,2,0,2,0,17,0,2,0,1
237,1,2,0,0,2,2,0,32,0,3,0,2
238,0,2,1,1,0,1,0,31,0,1,1,1
239,0,2,1,2,0,1,0,22,0,1,1,1
240,0,3,0,1,0,2,1,21,0,2,0,2
241,1,3,0,1,0,2,2,30,0,2,0,2
242,0,2,1,1,0,1,0,31,0,1,1,1
243,0,3,1,1,0,0,0,29,0,1,1,1
244,0,3,1,1,0,0,1,20,0,1,1,1
245,0,1,1,2,0,3,2,27,1,3,0,5
246,0,3,0,1,0,0,0,37,0,1,1,2
247,1,2,0,1,2,2,0,31,0,3,0,3
248,1,1,1,2,1,3,0,29,1,3,0,1
249,0,2,1,3,0,2,0,29,0,2,0,5
250,0,3,1,1,0,0,0,22,0,1,1,1
251,0,3,0,1,1,1,0,42,1,3,0,3
252,0,1,1,3,0,2,0,25,1,1,1,1
253,0,3,1,1,0,2,0,24,0,2,0,1
254,0,3,0,2,2,2,0,40,0,3,0,3
255,1,3,0,1,2,2,1,39,0,3,0,3
256,1,1,0,2,0,3,1,30,0,1,1,3
257,1,1,0,1,0,3,0,20,1,1,1,2
258,1,1,0,2,0,3,1,16,0,1,1,2
259,1,2,0,3,1,2,0,27,0,2,0,3
260,0,3,1,2,0,0,2,17,0,1,1,1
261,1,3,1,0,2,3,0,33,0,7,0,4
262,0,1,1,3,1,3,0,17,1,3,0,1
263,0,1,1,2,0,0,0,21,1,1,1,1
264,0,3,0,2,0,0,2,18,0,1,1,2
265,0,2,1,2,0,1,0,17,0,1,1,1
266,0,3,1,0,1,3,0,25,0,6,0,1
267,1,3,1,1,0,0,0,24,0,2,0,1
268,1,1,0,3,1,3,0,45,1,2,0,3
269,1,1,0,2,0,3,0,22,1,1,1,2
270,0,1,1,1,0,2,0,21,0,1,1,1
271,1,3,1,1,0,0,0,28,0,1,1,1
272,1,2,0,2,1,2,0,41,0,2,0,3
273,0,1,1,2,1,2,1,21,1,2,0,1
274,1,3,0,1,0,0,2,26,0,1,1,2
275,1,1,0,3,0,3,0,33,1,2,0,2
276,0,3,0,2,0,0,0,33,0,1,1,2
277,0,2,1,1,0,0,0,27,0,1,1,1
278,0,3,1,0,1,2,2,18,0,6,0,4
279,1,3,0,2,1,2,0,32,0,3,0,3
280,0,3,1,4,0,0,2,16,0,1,1,1
281,0,3,1,1,0,0,0,32,0,1,1,1
282,0,3,1,0,0,1,0,25,0,1,1,1
283,1,3,1,1,0,1,0,26,0,1,1,1
284,0,1,1,2,0,2,0,26,1,1,1,1
285,0,3,1,2,0,1,1,19,0,1,1,1
286,1,3,1,1,0,1,0,23,0,1,1,1
287,0,3,1,1,0,0,0,20,0,1,1,1
288,1,2,1,2,0,1,0,20,0,1,1,1
289,1,3,0,1,0,0,2,20,0,1,1,2
290,1,1,0,1,0,3,0,28,0,1,1,2
291,1,1,0,1,0,3,1,39,1,2,0,3
292,0,2,1,2,0,1,1,22,1,1,1,1
293,0,3,0,1,0,1,0,19,0,1,1,2
294,0,3,1,1,0,0,0,16,0,1,1,1
295,0,1,1,2,0,2,1,17,0,1,1,1
296,0,3,1,1,0,0,1,18,0,1,1,1
297,0,1,0,0,2,3,0,28,1,4,0,2
298,1,1,1,1,0,2,0,21,1,1,1,1
299,1,1,0,3,1,3,1,47,1,2,0,3
300,1,3,0,1,0,0,2,40,0,1,1,2
301,1,3,1,1,0,2,2,18,0,3,0,1
302,0,3,1,1,0,0,0,31,0,1,1,1
303,1,2,0,1,0,1,2,19,1,1,1,2
304,0,3,1,1,0,1,0,33,0,1,1,1
305,1,1,1,0,2,3,0,30,1,4,0,4
306,1,1,0,1,0,3,1,23,0,1,1,2
307,1,1,0,1,0,3,1,82,1,2,0,3
308,0,2,1,1,0,2,1,19,0,2,0,1
309,1,1,0,1,0,3,1,30,1,1,1,2
310,1,1,0,1,0,3,1,30,1,1,1,2
311,1,1,0,1,2,3,1,26,1,5,0,2
312,0,2,0,1,1,2,0,37,0,3,0,3
313,0,3,1,1,0,0,0,22,0,1,1,1
314,0,2,1,2,1,2,0,18,0,3,0,1
315,1,3,0,1,0,0,0,31,0,1,1,2
316,1,2,0,1,0,2,0,35,0,2,0,3
317,0,2,1,3,0,1,0,20,0,1,1,5
318,1,1,0,1,2,3,0,24,1,3,0,2
319,1,1,0,2,1,3,1,56,1,3,0,3
320,0,3,1,1,0,0,0,18,0,1,1,1
321,0,3,1,1,0,0,0,16,0,1,1,1
322,1,2,0,1,0,1,2,25,0,1,1,2
323,1,2,0,1,1,2,0,51,0,3,0,3
324,0,3,1,1,2,3,0,24,0,11,0,1
325,1,1,0,2,0,3,1,24,1,1,1,2
326,0,3,1,3,0,0,0,25,0,1,1,1
327,1,2,0,2,0,1,0,23,1,1,1,3
328,1,3,0,1,1,2,0,46,0,3,0,3
329,1,1,0,0,1,3,1,28,1,2,0,2
330,1,3,0,1,0,2,2,18,0,3,0,2
331,0,1,1,2,0,2,0,19,1,1,1,1
332,0,1,1,2,1,3,0,25,1,2,0,1
333,0,3,1,0,0,2,0,31,0,3,0,1
334,1,1,0,1,0,3,0,50,0,2,0,3
335,0,3,1,1,0,0,0,18,0,1,1,1
336,0,1,1,1,0,3,0,25,1,2,0,1
337,1,1,0,2,0,3,1,31,1,1,1,2
338,1,3,1,2,0,1,0,21,0,1,1,1
339,0,1,1,2,0,3,0,28,1,1,1,1
340,1,2,1,0,1,2,0,30,1,3,0,4
341,1,1,0,1,2,3,0,30,1,6,0,2
342,0,2,1,1,0,1,0,26,0,1,1,1
343,0,2,1,1,0,1,0,42,0,1,1,1
344,0,2,1,2,0,1,0,23,0,1,1,1
345,1,2,0,1,0,1,0,29,1,1,1,2
346,1,2,0,2,0,1,0,25,0,1,1,2
347,1,3,0,2,0,2,0,41,0,2,0,3
348,1,3,1,0,1,2,0,38,0,3,0,4
349,0,3,1,2,0,1,0,16,0,1,1,1
350,0,3,1,1,0,1,0,22,0,1,1,1
351,0,1,1,2,0,3,0,38,1,1,1,1
352,0,3,1,0,1,0,1,18,0,3,0,1
353,0,3,1,1,0,2,0,25,0,2,0,1
354,0,3,1,1,0,0,1,17,0,1,1,1
355,0,3,1,1,0,1,0,27,0,1,1,1
356,1,1,0,1,1,3,0,27,1,2,0,2
357,0,2,0,2,0,1,0,25,0,1,1,2
358,1,3,0,0,0,0,2,20,0,1,1,2
359,1,3,0,2,0,0,2,33,0,1,1,2
360,0,3,1,2,4,2,0,18,0,6,0,1
361,0,2,1,1,0,2,1,25,0,2,0,1
362,0,3,0,2,1,2,1,31,0,2,0,3
363,0,3,1,2,0,0,0,15,0,1,1,1
364,0,3,1,1,0,2,2,19,0,2,0,1
365,0,3,1,1,0,0,0,30,0,1,1,1
366,1,1,0,3,0,3,1,48,1,2,0,3
367,1,3,0,1,0,0,1,30,0,1,1,3
368,1,3,0,1,0,0,2,19,0,1,1,2
369,1,1,0,1,0,3,1,29,1,1,1,3
370,1,1,1,1,0,3,1,27,1,2,0,1
371,0,3,1,1,0,0,0,25,0,2,0,1
372,0,3,1,1,0,1,0,26,0,1,1,1
373,0,1,1,1,0,3,1,19,0,1,1,1
374,0,3,0,0,1,2,0,26,0,5,0,2
375,1,1,0,1,0,3,1,37,0,2,0,3
376,1,3,0,1,0,0,0,31,0,1,1,2
377,0,1,1,1,2,3,1,25,1,3,0,1
378,0,3,1,1,0,0,1,19,0,1,1,1
379,0,3,1,1,0,0,0,27,0,1,1,1
380,1,1,0,2,0,3,1,21,0,1,1,2
381,1,3,0,0,2,2,1,27,0,3,0,2
382,0,3,1,1,0,1,0,18,0,1,1,1
383,1,1,0,2,0,3,0,51,0,2,0,3
384,0,3,1,1,0,0,0,22,0,1,1,1
385,0,2,1,1,0,3,0,25,0,1,1,1
386,0,3,1,0,2,3,0,31,0,8,0,4
387,1,2,0,2,0,1,0,16,0,1,1,2
388,0,3,1,1,0,0,2,20,0,1,1,1
389,1,2,0,1,0,1,1,21,0,1,1,2
390,1,1,1,2,2,3,0,26,1,4,0,1
391,1,3,1,1,0,0,0,22,0,1,1,1
392,0,3,1,1,0,1,0,28,0,3,0,1
393,1,1,0,1,0,3,1,22,1,2,0,2
394,1,3,0,1,2,2,0,51,1,3,0,3
395,0,3,1,1,0,0,0,19,0,1,1,1
396,0,3,0,1,0,0,0,19,0,1,1,2
397,0,2,1,2,0,2,0,23,0,1,1,1
398,0,2,1,1,0,1,0,16,0,1,1,5
399,1,2,0,1,0,1,0,32,0,1,1,3
400,1,3,1,2,0,1,0,18,0,1,1,1
401,0,3,1,1,0,1,0,15,0,1,1,1
402,0,3,0,1,0,1,0,24,0,2,0,2
403,0,3,1,1,0,2,0,30,0,2,0,1
404,0,3,0,1,0,1,0,23,0,1,1,2
405,0,2,1,2,0,2,0,18,0,2,0,1
406,0,3,1,3,0,0,0,32,0,1,1,1
407,1,2,1,0,1,2,0,30,0,3,0,4
408,0,3,1,1,0,0,0,33,0,1,1,1
409,0,3,0,2,1,2,0,18,0,5,0,2
410,0,3,1,2,0,0,0,18,0,1,1,1
411,0,3,1,1,0,0,2,15,0,1,1,1
412,1,1,0,2,0,3,2,22,1,2,0,2
413,0,2,1,0,0,0,0,30,0,1,1,1
414,1,3,1,2,0,1,0,25,0,1,1,1
415,0,3,0,2,0,1,0,39,0,1,1,3
416,1,2,0,2,1,3,0,47,0,3,0,3
417,1,2,0,1,2,1,0,29,0,3,0,2
418,0,2,1,1,0,1,0,26,0,1,1,1
419,0,3,0,0,2,2,0,25,0,3,0,2
420,0,3,1,2,0,0,1,22,0,1,1,1
421,0,3,1,1,0,0,2,19,0,1,1,1
422,0,3,1,1,0,0,0,18,0,1,1,1
423,0,3,0,1,1,1,0,54,0,3,0,3
424,0,3,1,1,1,2,0,27,0,3,0,1
425,0,3,1,0,0,0,0,22,0,1,1,1
426,1,2,0,1,0,2,0,43,0,2,0,3
427,1,2,0,1,0,2,0,67,0,1,1,2
428,0,3,1,1,0,0,2,16,0,1,1,1
429,1,3,1,1,0,1,0,34,1,1,1,1
430,1,1,1,1,0,2,0,41,1,1,1,1
431,1,3,0,1,0,2,0,49,0,2,0,3
432,1,2,0,2,0,2,0,51,0,2,0,3
433,0,3,1,1,0,0,0,26,0,1,1,1
434,0,1,1,3,0,3,0,25,1,2,0,1
435,1,1,0,0,2,3,0,25,1,4,0,2
436,0,3,0,1,2,3,0,36,0,5,0,2
437,1,2,0,1,3,2,0,37,0,6,0,3
438,0,1,1,3,4,3,0,17,1,6,0,1
439,0,2,1,1,0,1,0,38,0,1,1,1
440,1,2,0,2,1,2,0,43,0,3,0,3
441,0,3,1,1,0,1,0,15,0,1,1,1
442,0,3,1,1,0,0,0,25,0,2,0,1
443,1,2,0,1,0,1,0,25,0,1,1,2
444,1,3,1,1,0,1,0,33,0,1,1,1
445,1,1,1,0,2,3,0,25,1,3,0,4
446,1,2,0,0,1,2,0,33,0,2,0,2
447,1,1,1,2,0,2,0,27,0,1,1,1
448,1,3,0,0,1,2,1,30,0,4,0,2
449,1,1,1,3,0,2,0,30,1,1,1,5
450,0,2,1,2,2,2,0,21,0,4,0,1
451,0,3,1,2,0,2,0,31,0,2,0,1
452,0,1,1,1,0,2,1,31,1,1,1,1
453,1,1,1,3,0,3,1,24,1,2,0,1
454,0,3,1,1,0,1,0,19,0,1,1,1
455,1,3,1,1,0,0,1,18,0,1,1,1
456,0,1,1,4,0,2,0,25,1,1,1,1
457,1,1,0,1,0,3,0,33,1,2,0,3
458,1,2,0,3,0,1,0,19,0,1,1,2
459,0,3,1,1,0,0,2,21,0,1,1,1
460,1,1,1,2,0,2,0,19,1,1,1,1
461,0,3,1,2,0,1,0,19,0,1,1,1
462,0,1,1,2,0,3,0,17,1,1,1,1
463,0,2,1,2,0,1,0,28,0,1,1,1
464,0,3,1,1,0,1,0,18,0,1,1,1
465,0,3,1,2,0,0,0,31,0,1,1,1
466,0,2,1,2,0,0,0,21,0,1,1,1
467,0,1,1,3,0,2,0,26,0,1,1,1
468,0,3,1,0,0,0,2,18,0,1,1,1
469,1,3,0,0,1,2,1,29,0,4,0,2
470,0,3,1,0,0,0,0,17,0,1,1,1
471,0,3,1,2,0,1,0,15,0,1,1,1
472,1,2,0,2,2,2,0,39,0,4,0,3
473,1,2,0,1,0,1,1,44,1,1,1,3
474,0,3,0,1,0,1,0,27,0,1,1,2
475,0,1,1,1,0,3,0,27,1,1,1,1
476,0,2,1,2,0,2,0,23,0,2,0,1
477,0,3,1,1,0,0,0,25,0,2,0,1
478,0,3,1,1,0,0,0,25,0,1,1,1
479,1,3,0,0,1,1,0,24,0,2,0,2
480,0,3,1,0,2,3,0,30,0,8,0,4
481,0,2,1,1,0,0,0,32,0,1,1,1
482,0,3,1,3,0,1,0,24,0,1,1,1
483,1,3,0,3,0,1,0,22,0,1,1,3
484,1,1,1,1,0,3,1,23,1,2,0,1
485,0,3,0,1,1,2,0,22,0,5,0,2
486,1,1,0,2,0,3,0,47,1,2,0,3
487,0,1,1,3,0,2,1,23,1,1,1,1
488,0,3,1,1,0,1,0,29,0,1,1,1
489,1,3,1,0,1,2,0,37,0,3,0,4
490,0,3,1,2,0,2,0,36,0,2,0,1
491,0,3,1,1,0,0,0,19,0,1,1,1
492,0,1,1,3,0,2,0,26,1,1,1,1
493,0,1,1,4,0,3,1,23,0,1,1,1
494,0,3,1,1,0,1,0,26,0,1,1,1
495,0,3,1,2,0,2,1,21,0,1,1,1
496,1,1,0,3,0,3,1,30,1,2,0,2
497,0,3,1,2,0,2,0,31,0,1,1,1
498,0,1,0,1,2,3,0,47,1,4,0,3
499,0,3,1,1,0,0,0,18,0,1,1,1
500,0,3,1,1,0,1,0,16,0,1,1,1
501,0,3,0,1,0,0,2,19,0,1,1,2
502,0,3,0,1,0,0,2,30,0,1,1,2
503,0,3,0,2,0,1,0,30,0,1,1,2
504,1,1,0,0,0,3,0,21,1,1,1,2
505,0,1,1,1,0,3,1,42,1,2,0,1
506,1,2,0,2,2,2,0,45,0,3,0,3
507,1,1,1,2,0,2,0,45,0,1,1,1
508,0,3,1,1,0,2,0,24,0,1,1,1
509,1,3,1,1,0,3,0,14,0,1,1,1
510,1,3,1,1,0,0,2,24,0,1,1,1
511,0,3,1,0,0,1,0,17,0,1,1,1
512,1,1,1,2,0,2,0,25,1,1,1,1
513,1,1,0,3,0,3,1,46,0,2,0,3
514,0,3,1,1,0,0,0,17,0,1,1,1
515,0,1,1,2,0,3,0,28,1,1,1,1
516,1,2,0,2,0,1,0,28,1,1,1,3
517,0,3,1,1,0,2,2,17,0,1,1,1
518,1,2,0,2,0,2,0,52,0,2,0,3
519,0,3,1,1,0,0,0,19,0,1,1,1
520,1,1,0,1,0,3,0,21,1,1,1,2
521,0,3,1,1,0,0,0,15,0,1,1,1
522,0,3,1,1,0,0,1,18,0,1,1,1
523,1,1,0,2,1,3,1,47,1,2,0,3
524,0,3,1,1,0,0,1,17,0,1,1,1
525,0,3,1,2,0,0,2,18,0,1,1,1
526,1,2,0,3,0,1,0,20,0,1,1,2
527,0,1,1,1,0,3,0,18,1,1,1,1
528,0,3,1,2,0,1,0,25,0,1,1,1
529,0,2,1,1,1,1,0,27,0,4,0,1
530,1,2,0,0,1,2,0,24,0,3,0,2
531,0,3,1,1,0,0,1,17,0,1,1,1
532,0,3,1,1,1,0,1,20,0,3,0,1
