.mdx file,Line(s),Full path / URL,Keep? [Based on Integration-> FC],Path
docs/models/integrations/yolov5.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/yolo/Train_and_Debug_YOLOv5_Models_with_Weights_%26_Biases_.ipynb,Yes,/wandb/examples/blob/master/colabs/yolo/Train_and_Debug_YOLOv5_Models_with_Weights_%26_Biases_.ipynb
docs/models/quickstart.mdx,11,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/run_quickstart.ipynb,,/wandb/examples/blob/master/colabs/intro/run_quickstart.ipynb
docs/models/quickstart.mdx,12,,,
docs/models/ref/wandb_workspaces.mdx,58,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Report_API_Quickstart.ipynb,,/wandb/examples/blob/master/colabs/intro/Report_API_Quickstart.ipynb
docs/models/registry.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb_registry/zoo_wandb.ipynb,,/wandb/examples/blob/master/colabs/wandb_registry/zoo_wandb.ipynb
docs/models/registry/aliases.mdx,133,,,
docs/models/registry/aliases.mdx,133,,,
docs/models/reports.mdx,10,,,
docs/models/reports/create-a-report.mdx,13,,,
docs/models/sweeps.mdx,9,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/pytorch/Organizing_Hyperparameter_Sweeps_in_PyTorch_with_W%26B.ipynb,,/wandb/examples/blob/master/colabs/pytorch/Organizing_Hyperparameter_Sweeps_in_PyTorch_with_W%26B.ipynb
docs/models/sweeps.mdx,57,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/tensorflow/Hyperparameter_Optimization_in_TensorFlow_using_W&B_Sweeps.ipynb,,/wandb/examples/blob/master/colabs/tensorflow/Hyperparameter_Optimization_in_TensorFlow_using_W&B_Sweeps.ipynb
docs/models/sweeps.mdx,58,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/boosting/Using_W&B_Sweeps_with_XGBoost.ipynb,,/wandb/examples/blob/master/colabs/boosting/Using_W&B_Sweeps_with_XGBoost.ipynb
docs/models/sweeps/existing-project.mdx,8,https://github.com/wandb/examples/tree/master/examples/pytorch/pytorch-cnn-fashion,,/wandb/examples/blob/main/examples/pytorch/pytorch-cnn-fashion/fashion_data.py
docs/models/sweeps/useful-resources.mdx,35,https://github.com/wandb/examples/blob/master/examples/wandb-sweeps/sweeps-xgboost/xgboost_tune.py,,/wandb/examples/blob/master/examples/wandb-sweeps/sweeps-xgboost/xgboost_tune.py
docs/models/tables.mdx,9,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/datasets-predictions/W%26B_Tables_Quickstart.ipynb,,/wandb/examples/blob/master/colabs/datasets-predictions/W%26B_Tables_Quickstart.ipynb
docs/models/tables.mdx,10,https://wandb.ai/wandb/examples/reports/AlphaFold-ed-Proteins-in-W-B-Tables--Vmlldzo4ODc0MDc,,/wandb/examples/blob/master/colabs/tables/AlphaFold_with_W%26B_Align%2C_Fold%2C_Log.ipynb
docs/models/tables/tables-walkthrough.mdx,12,,,
docs/models/tables/visualize-tables.mdx,92,,,
docs/models/tables/visualize-tables.mdx,206,,,
docs/models/track.mdx,9,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases.ipynb,,/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases.ipynb
docs/models/track/config.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb-log/Configs_in_W%26B.ipynb,,/wandb/examples/blob/master/colabs/wandb-log/Configs_in_W%26B.ipynb
docs/models/track/log/distributed-training.mdx,26,,,
docs/models/track/log/distributed-training.mdx,"26, 35",https://github.com/wandb/examples/blob/master/examples/pytorch/pytorch-ddp/log-ddp.py,,/wandb/examples/blob/master/examples/pytorch/pytorch-ddp/log-ddp.py
docs/models/track/log/distributed-training.mdx,40,,,
docs/models/track/log/log-models.mdx,7,,,
docs/models/track/log/media.mdx,8,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb-log/Log_(Almost)_Anything_with_W%26B_Media.ipynb,,/wandb/examples/blob/master/colabs/wandb-log/Log_(Almost)_Anything_with_W%26B_Media.ipynb
docs/models/track/log/plots.mdx,210,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb-log/Plot_ROC_Curves_with_W%26B.ipynb,,/wandb/examples/blob/master/colabs/wandb-log/Plot_ROC_Curves_with_W%26B.ipynb
docs/models/track/log/plots.mdx,238,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb-log/Log_a_Confusion_Matrix_with_W%26B.ipynb,,/wandb/examples/blob/master/colabs/wandb-log/Log_a_Confusion_Matrix_with_W%26B.ipynb
,,,,
,,,,
,,,,
,,42,,
